GAMBIR,1,1
GAMBIR,1,2
GAMBIR,1,3
GAMBIR,1,4
GAMBIR,1,7
GAMBIR,1,8
GAMBIR,1,9
GAMBIR,1,15
GAMBIR,1,16
GAMBIR,2,5
GAMBIR,2,11
GAMBIR,4,2
GAMBIR,4,3
CIDENG,1,1
CIDENG,1,2
CIDENG,1,3
CIDENG,1,4
CIDENG,1,5
CIDENG,1,6
CIDENG,1,7
CIDENG,1,8
CIDENG,1,9
CIDENG,1,10
CIDENG,1,11
CIDENG,1,12
CIDENG,1,14
CIDENG,1,15
CIDENG,1,16
CIDENG,1,17
CIDENG,1,18
CIDENG,2,1
CIDENG,2,2
CIDENG,2,3
CIDENG,2,4
CIDENG,2,5
CIDENG,2,6
CIDENG,2,7
CIDENG,2,8
CIDENG,2,9
CIDENG,2,10
CIDENG,2,11
CIDENG,2,13
CIDENG,2,14
CIDENG,2,15
CIDENG,3,1
CIDENG,3,2
CIDENG,3,3
CIDENG,3,4
CIDENG,3,5
CIDENG,3,6
CIDENG,3,7
CIDENG,3,8
CIDENG,3,9
CIDENG,3,10
CIDENG,3,11
CIDENG,4,1
CIDENG,4,3
CIDENG,4,4
CIDENG,4,5
CIDENG,4,6
CIDENG,4,7
CIDENG,4,8
CIDENG,4,9
CIDENG,4,10
CIDENG,4,11
CIDENG,5,1
CIDENG,5,2
CIDENG,5,3
CIDENG,5,4
CIDENG,5,5
CIDENG,5,6
CIDENG,5,7
CIDENG,5,8
CIDENG,5,9
CIDENG,5,10
CIDENG,6,1
CIDENG,6,2
CIDENG,6,3
CIDENG,6,4
CIDENG,6,5
CIDENG,6,7
CIDENG,6,8
CIDENG,6,9
CIDENG,6,10
CIDENG,6,11
CIDENG,6,12
CIDENG,6,13
CIDENG,6,14
CIDENG,6,15
CIDENG,6,16
CIDENG,6,17
CIDENG,6,18
CIDENG,7,1
CIDENG,7,2
CIDENG,7,3
CIDENG,7,4
CIDENG,7,5
CIDENG,7,6
CIDENG,7,7
CIDENG,7,8
CIDENG,7,9
CIDENG,7,10
CIDENG,9,1
CIDENG,9,2
CIDENG,9,3
CIDENG,9,4
CIDENG,9,5
CIDENG,9,6
CIDENG,9,7
CIDENG,9,8
CIDENG,9,9
CIDENG,10,1
CIDENG,10,2
CIDENG,10,3
CIDENG,10,4
CIDENG,10,5
CIDENG,10,6
CIDENG,10,7
CIDENG,10,8
CIDENG,11,1
CIDENG,11,2
CIDENG,11,3
CIDENG,11,4
CIDENG,11,5
CIDENG,11,6
CIDENG,11,7
CIDENG,11,8
PETOJO UTARA,1,1
PETOJO UTARA,1,2
PETOJO UTARA,1,3
PETOJO UTARA,1,4
PETOJO UTARA,1,5
PETOJO UTARA,1,6
PETOJO UTARA,1,7
PETOJO UTARA,1,8
PETOJO UTARA,1,9
PETOJO UTARA,1,10
PETOJO UTARA,1,11
PETOJO UTARA,1,12
PETOJO UTARA,1,13
PETOJO UTARA,1,14
PETOJO UTARA,1,15
PETOJO UTARA,1,16
PETOJO UTARA,1,17
PETOJO UTARA,2,1
PETOJO UTARA,2,2
PETOJO UTARA,2,3
PETOJO UTARA,2,4
PETOJO UTARA,2,5
PETOJO UTARA,2,7
PETOJO UTARA,2,8
PETOJO UTARA,2,9
PETOJO UTARA,2,10
PETOJO UTARA,2,11
PETOJO UTARA,3,1
PETOJO UTARA,3,2
PETOJO UTARA,3,3
PETOJO UTARA,3,4
PETOJO UTARA,3,5
PETOJO UTARA,3,6
PETOJO UTARA,3,7
PETOJO UTARA,3,8
PETOJO UTARA,3,9
PETOJO UTARA,3,10
PETOJO UTARA,3,11
PETOJO UTARA,3,12
PETOJO UTARA,3,13
PETOJO UTARA,3,14
PETOJO UTARA,3,15
PETOJO UTARA,3,16
PETOJO UTARA,3,17
PETOJO UTARA,4,1
PETOJO UTARA,4,2
PETOJO UTARA,4,3
PETOJO UTARA,4,4
PETOJO UTARA,4,6
PETOJO UTARA,4,7
PETOJO UTARA,4,8
PETOJO UTARA,4,9
PETOJO UTARA,5,2
PETOJO UTARA,5,3
PETOJO UTARA,5,4
PETOJO UTARA,5,5
PETOJO UTARA,5,6
PETOJO UTARA,5,7
PETOJO UTARA,5,8
PETOJO UTARA,5,9
PETOJO UTARA,5,10
PETOJO UTARA,5,11
PETOJO UTARA,5,12
PETOJO UTARA,5,13
PETOJO UTARA,5,14
PETOJO UTARA,5,15
PETOJO UTARA,5,16
PETOJO UTARA,5,17
PETOJO UTARA,6,1
PETOJO UTARA,6,2
PETOJO UTARA,6,4
PETOJO UTARA,6,5
PETOJO UTARA,6,6
PETOJO UTARA,6,7
PETOJO UTARA,6,8
PETOJO UTARA,7,1
PETOJO UTARA,7,2
PETOJO UTARA,7,3
PETOJO UTARA,7,4
